record_id,category,has_recovery_pattern
0,navigation,False
1,navigation,False
2,navigation,False
3,navigation,False
4,navigation,False
5,manipulation,False
6,other,False
7,navigation,False
8,manipulation,False
9,other,False
10,other,False
11,other,True
12,navigation,False
13,navigation,False
14,navigation,True
15,other,False
16,navigation,True
17,navigation,True
18,navigation,False
19,navigation,False
20,navigation,False
21,navigation,False
22,navigation,True
23,navigation,False
24,navigation,True
25,navigation,True
26,perception,True
27,other,True
28,perception,False
29,manipulation,False
30,navigation,True
31,other,False
32,navigation,False
33,navigation,True
34,navigation,True
35,navigation,False
36,navigation,True
37,navigation,True
38,manipulation,False
39,navigation,True
40,manipulation,False
41,navigation,False
42,navigation,False
43,navigation,False
44,navigation,False
45,other,False
46,navigation,True
47,other,False
48,navigation,True
49,navigation,False
50,navigation,True
51,navigation,True
52,other,False
53,navigation,False
54,other,False
55,navigation,False
56,other,False
57,other,False
58,navigation,False
59,navigation,False
60,navigation,False
61,other,False
62,other,False
63,other,False
64,navigation,False
65,navigation,False
66,navigation,True
67,navigation,True
68,navigation,False
69,navigation,True
70,navigation,True
71,navigation,True
72,navigation,False
73,navigation,False
74,navigation,False
75,navigation,True
76,other,False
77,navigation,False
78,perception,True
79,navigation,False
80,perception,True
81,perception,False
82,navigation,False
83,navigation,True
84,navigation,False
85,navigation,True
86,navigation,False
87,navigation,False
88,navigation,False
89,navigation,False
90,navigation,False
91,navigation,True
92,other,False
93,other,False
94,navigation,True
95,other,True
96,other,False
97,navigation,True
98,other,False
99,navigation,False
100,navigation,True
101,navigation,True
102,other,True
103,navigation,True
104,navigation,False
105,navigation,False
106,navigation,False
107,navigation,True
108,navigation,False
109,other,False
110,navigation,True
111,navigation,False
112,other,False
113,other,False
114,other,False
115,navigation,True
116,navigation,False
117,navigation,True
118,manipulation,False
119,other,False
120,navigation,True
121,navigation,True
122,navigation,False
123,manipulation,False
124,navigation,False
125,other,False
126,navigation,False
127,navigation,True
128,navigation,True
129,other,False
130,other,False
131,navigation,False
132,navigation,True
133,navigation,False
134,other,False
135,navigation,False
136,navigation,False
137,other,False
138,navigation,False
139,navigation,False
140,navigation,True
141,navigation,True
142,navigation,True
143,other,False
144,navigation,True
145,navigation,False
146,navigation,False
147,navigation,False
148,navigation,True
149,navigation,True
150,navigation,True
151,navigation,False
152,navigation,True
153,navigation,True
154,navigation,False
155,other,False
